,Label,Truth
0,0,Normal
1,1,Normal
2,2,Normal
3,3,Normal
4,4,Normal
5,5,Normal
6,6,Normal
7,7,Normal
8,8,Normal
9,9,Normal
10,10,Normal
11,11,Normal
12,12,Normal
13,13,Normal
14,14,Normal
15,15,Normal
16,16,Normal
17,17,Normal
18,18,Normal
19,19,Normal
20,20,Normal
21,21,Normal
22,22,Normal
23,23,Normal
24,24,Normal
25,25,Normal
26,26,Normal
27,27,Normal
28,28,Normal
29,29,Normal
30,30,Normal
31,31,Normal
32,32,Normal
33,33,Normal
34,34,Normal
35,35,Normal
36,36,Normal
37,37,Normal
38,38,Normal
39,39,Normal
40,40,Normal
41,41,Normal
42,42,Normal
43,43,Normal
44,44,Normal
45,45,Normal
46,46,Normal
47,47,Normal
48,48,Normal
49,49,Normal
50,50,Normal
51,51,Normal
52,52,Normal
53,53,Normal
54,54,Normal
55,55,Normal
56,56,Normal
57,57,Normal
58,58,Normal
59,59,Normal
60,60,Normal
61,61,Normal
62,62,Normal
63,63,Normal
64,64,Normal
65,65,Normal
66,66,Normal
67,67,Normal
68,68,Normal
69,69,Normal
70,70,Normal
71,71,Normal
72,72,Normal
73,73,Normal
74,74,Normal
75,75,Normal
76,76,Normal
77,77,Normal
78,78,Normal
79,79,Normal
80,80,Normal
81,81,Normal
82,82,Normal
83,83,Normal
84,84,Normal
85,85,Normal
86,86,Abnormal
87,87,Abnormal
88,88,Abnormal
89,89,Abnormal
90,90,Abnormal
91,91,Abnormal
92,92,Abnormal
93,93,Abnormal
94,94,Abnormal
95,95,Abnormal
96,96,Abnormal
97,97,Abnormal
98,98,Abnormal
99,99,Abnormal
100,100,Abnormal
101,101,Abnormal
102,102,Abnormal
103,103,Abnormal
104,104,Abnormal
105,105,Abnormal
106,106,Abnormal
107,107,Abnormal
108,108,Abnormal
109,109,Abnormal
110,110,Abnormal
111,111,Abnormal
112,112,Abnormal
113,113,Abnormal
114,114,Abnormal
115,115,Abnormal
116,116,Abnormal
117,117,Abnormal
118,118,Abnormal
119,119,Abnormal
120,120,Abnormal
121,121,Abnormal
122,122,Abnormal
123,123,Abnormal
124,124,Abnormal
125,125,Abnormal
126,126,Abnormal
127,127,Abnormal
128,128,Abnormal
129,129,Abnormal
130,130,Abnormal
131,131,Abnormal
132,132,Abnormal
133,133,Abnormal
134,134,Abnormal
135,135,Abnormal
136,136,Abnormal
137,137,Abnormal
138,138,Abnormal
139,139,Abnormal
140,140,Abnormal
141,141,Abnormal
142,142,Abnormal
143,143,Abnormal
144,144,Abnormal
145,145,Abnormal
146,146,Abnormal
147,147,Abnormal
148,148,Abnormal
149,149,Abnormal
150,150,Abnormal
151,151,Abnormal
152,152,Abnormal
153,153,Abnormal
154,154,Abnormal
155,155,Abnormal
156,156,Abnormal
157,157,Abnormal
158,158,Abnormal
159,159,Abnormal
160,160,Abnormal
161,161,Abnormal
162,162,Abnormal
163,163,Abnormal
164,164,Abnormal
165,165,Abnormal
166,166,Abnormal
167,167,Abnormal
168,168,Abnormal
169,169,Abnormal
170,170,Abnormal
171,171,Abnormal
172,172,Abnormal
173,173,Abnormal
174,174,Abnormal
175,175,Abnormal
176,176,Abnormal
177,177,Abnormal
178,178,Abnormal
179,179,Abnormal
180,180,Abnormal
181,181,Abnormal
182,182,Abnormal
183,183,Abnormal
184,184,Abnormal
185,185,Abnormal
186,186,Abnormal
187,187,Abnormal
188,188,Abnormal
189,189,Abnormal
190,190,Abnormal
191,191,Abnormal
192,192,Normal
193,193,Normal
194,194,Normal
195,195,Normal
196,196,Normal
197,197,Normal
198,198,Normal
199,199,Normal
200,200,Normal
201,201,Normal
202,202,Normal
203,203,Normal
204,204,Normal
205,205,Normal
206,206,Normal
207,207,Normal
208,208,Normal
209,209,Normal
210,210,Normal
211,211,Normal
212,212,Normal
213,213,Normal
214,214,Normal
215,215,Normal
216,216,Normal
217,217,Normal
218,218,Normal
219,219,Normal
220,220,Normal
221,221,Normal
222,222,Normal
223,223,Normal
224,224,Normal
225,225,Normal
226,226,Normal
227,227,Normal
228,228,Normal
229,229,Normal
230,230,Normal
231,231,Normal
232,232,Normal
233,233,Normal
234,234,Normal
235,235,Normal
236,236,Normal
237,237,Normal
238,238,Normal
239,239,Normal
240,240,Normal
241,241,Normal
242,242,Normal
243,243,Normal
244,244,Normal
245,245,Normal
246,246,Normal
247,247,Normal
248,248,Normal
249,249,Normal
250,250,Normal
251,251,Normal
252,252,Normal
253,253,Normal
254,254,Normal
255,255,Normal
256,256,Normal
257,257,Normal
258,258,Normal
259,259,Normal
260,260,Normal
261,261,Normal
262,262,Normal
263,263,Normal
264,264,Normal
265,265,Normal
266,266,Normal
267,267,Normal
268,268,Normal
269,269,Normal
270,270,Normal
271,271,Normal
272,272,Normal
273,273,Normal
274,274,Normal
275,275,Normal
276,276,Normal
277,277,Normal
278,278,Normal
279,279,Normal
280,280,Normal
281,281,Normal
282,282,Normal
283,283,Normal
284,284,Normal
285,285,Normal
286,286,Normal
287,287,Normal
288,288,Normal
289,289,Normal
290,290,Normal
291,291,Normal
292,292,Normal
293,293,Normal
294,294,Normal
295,295,Normal
296,296,Normal
297,297,Normal
298,298,Normal
299,299,Normal
300,300,Normal
301,301,Normal
302,302,Normal
303,303,Normal
304,304,Normal
305,305,Normal
306,306,Normal
307,307,Normal
308,308,Normal
309,309,Normal
310,310,Normal
311,311,Normal
312,312,Normal
313,313,Normal
314,314,Normal
315,315,Normal
316,316,Normal
317,317,Normal
318,318,Normal
319,319,Normal
320,320,Normal
321,321,Normal
322,322,Normal
323,323,Normal
324,324,Normal
325,325,Normal
326,326,Normal
327,327,Normal
328,328,Normal
329,329,Normal
330,330,Normal
331,331,Normal
332,332,Normal
333,333,Normal
334,334,Normal
335,335,Normal
336,336,Normal
337,337,Normal
338,338,Normal
339,339,Normal
340,340,Normal
341,341,Normal
342,342,Normal
343,343,Normal
344,344,Normal
345,345,Normal
346,346,Normal
347,347,Normal
348,348,Normal
349,349,Normal
350,350,Normal
351,351,Normal
352,352,Normal
353,353,Normal
354,354,Normal
355,355,Normal
356,356,Normal
357,357,Normal
358,358,Normal
359,359,Normal
360,360,Normal
361,361,Normal
362,362,Normal
363,363,Normal
364,364,Normal
365,365,Normal
366,366,Normal
367,367,Normal
368,368,Normal
369,369,Normal
370,370,Normal
371,371,Normal
372,372,Normal
373,373,Normal
374,374,Normal
375,375,Normal
376,376,Normal
377,377,Normal
378,378,Normal
379,379,Normal
380,380,Normal
381,381,Normal
382,382,Normal
383,383,Normal
384,384,Normal
385,385,Normal
386,386,Normal
387,387,Normal
388,388,Normal
389,389,Normal
390,390,Normal
391,391,Normal
392,392,Normal
393,393,Normal
394,394,Normal
395,395,Normal
396,396,Normal
397,397,Normal
398,398,Normal
399,399,Normal
400,400,Normal
401,401,Normal
402,402,Normal
403,403,Normal
404,404,Normal
405,405,Normal
406,406,Normal
407,407,Normal
408,408,Normal
409,409,Normal
410,410,Normal
411,411,Normal
412,412,Normal
413,413,Normal
414,414,Normal
415,415,Normal
416,416,Normal
417,417,Normal
418,418,Normal
419,419,Normal
420,420,Normal
421,421,Normal
422,422,Normal
423,423,Normal
424,424,Normal
425,425,Normal
426,426,Normal
427,427,Normal
428,428,Normal
429,429,Normal
430,430,Normal
431,431,Normal
432,432,Normal
433,433,Normal
434,434,Normal
435,435,Normal
436,436,Normal
437,437,Normal
438,438,Normal
439,439,Normal
440,440,Normal
441,441,Normal
442,442,Normal
443,443,Normal
444,444,Normal
445,445,Normal
446,446,Normal
447,447,Normal
448,448,Normal
449,449,Normal
450,450,Normal
451,451,Normal
452,452,Normal
453,453,Abnormal
454,454,Abnormal
455,455,Abnormal
456,456,Abnormal
457,457,Abnormal
458,458,Abnormal
459,459,Abnormal
460,460,Abnormal
461,461,Abnormal
462,462,Abnormal
463,463,Abnormal
464,464,Abnormal
465,465,Abnormal
466,466,Abnormal
467,467,Abnormal
468,468,Abnormal
469,469,Abnormal
470,470,Abnormal
471,471,Abnormal
472,472,Abnormal
473,473,Abnormal
474,474,Abnormal
475,475,Abnormal
476,476,Abnormal
477,477,Abnormal
478,478,Abnormal
479,479,Abnormal
480,480,Abnormal
481,481,Abnormal
482,482,Abnormal
483,483,Abnormal
484,484,Abnormal
485,485,Abnormal
486,486,Abnormal
487,487,Abnormal
488,488,Abnormal
489,489,Abnormal
490,490,Abnormal
491,491,Abnormal
492,492,Abnormal
493,493,Abnormal
494,494,Abnormal
495,495,Abnormal
496,496,Abnormal
497,497,Abnormal
498,498,Abnormal
499,499,Abnormal
500,500,Abnormal
501,501,Abnormal
502,502,Abnormal
503,503,Abnormal
504,504,Abnormal
505,505,Abnormal
506,506,Abnormal
507,507,Abnormal
508,508,Abnormal
509,509,Abnormal
510,510,Abnormal
511,511,Abnormal
512,512,Abnormal
513,513,Abnormal
514,514,Abnormal
515,515,Abnormal
516,516,Abnormal
517,517,Abnormal
518,518,Abnormal
519,519,Abnormal
520,520,Abnormal
521,521,Abnormal
522,522,Abnormal
523,523,Abnormal
524,524,Abnormal
525,525,Abnormal
526,526,Abnormal
527,527,Abnormal
528,528,Abnormal
529,529,Abnormal
530,530,Abnormal
531,531,Abnormal
532,532,Abnormal
533,533,Abnormal
534,534,Abnormal
535,535,Abnormal
536,536,Abnormal
537,537,Abnormal
538,538,Abnormal
539,539,Abnormal
540,540,Abnormal
541,541,Abnormal
542,542,Abnormal
543,543,Abnormal
544,544,Abnormal
545,545,Abnormal
546,546,Abnormal
547,547,Abnormal
548,548,Abnormal
549,549,Abnormal
550,550,Abnormal
551,551,Abnormal
552,552,Abnormal
553,553,Abnormal
554,554,Abnormal
555,555,Abnormal
556,556,Abnormal
557,557,Abnormal
558,558,Abnormal
559,559,Abnormal
560,560,Abnormal
561,561,Abnormal
562,562,Abnormal
563,563,Abnormal
564,564,Abnormal
565,565,Abnormal
566,566,Abnormal
567,567,Abnormal
568,568,Abnormal
569,569,Abnormal
570,570,Abnormal
571,571,Abnormal
572,572,Abnormal
573,573,Abnormal
574,574,Abnormal
575,575,Abnormal
576,576,Abnormal
577,577,Abnormal
578,578,Abnormal
579,579,Abnormal
580,580,Abnormal
581,581,Abnormal
582,582,Abnormal
583,583,Abnormal
584,584,Abnormal
585,585,Abnormal
586,586,Abnormal
587,587,Abnormal
588,588,Abnormal
589,589,Abnormal
590,590,Abnormal
591,591,Abnormal
592,592,Abnormal
593,593,Abnormal
594,594,Abnormal
595,595,Abnormal
596,596,Abnormal
597,597,Abnormal
598,598,Abnormal
599,599,Abnormal
600,600,Abnormal
601,601,Abnormal
602,602,Abnormal
603,603,Abnormal
604,604,Abnormal
605,605,Abnormal
606,606,Abnormal
607,607,Abnormal
608,608,Abnormal
609,609,Abnormal
610,610,Abnormal
611,611,Abnormal
612,612,Abnormal
613,613,Abnormal
614,614,Abnormal
615,615,Abnormal
616,616,Abnormal
617,617,Abnormal
618,618,Abnormal
619,619,Normal
620,620,Normal
621,621,Normal
622,622,Normal
623,623,Normal
624,624,Normal
625,625,Normal
626,626,Normal
627,627,Normal
628,628,Normal
629,629,Normal
630,630,Normal
631,631,Normal
632,632,Normal
633,633,Normal
634,634,Normal
635,635,Normal
636,636,Normal
637,637,Normal
638,638,Normal
639,639,Normal
640,640,Normal
641,641,Normal
642,642,Normal
643,643,Normal
644,644,Normal
645,645,Normal
646,646,Normal
647,647,Normal
648,648,Normal
649,649,Normal
650,650,Normal
651,651,Normal
652,652,Normal
653,653,Normal
654,654,Normal
655,655,Normal
656,656,Normal
657,657,Normal
658,658,Normal
659,659,Normal
660,660,Normal
661,661,Normal
662,662,Normal
663,663,Normal
664,664,Normal
665,665,Normal
666,666,Normal
667,667,Normal
668,668,Normal
669,669,Normal
670,670,Normal
671,671,Normal
672,672,Normal
673,673,Normal
674,674,Normal
675,675,Normal
676,676,Normal
677,677,Normal
678,678,Normal
679,679,Normal
680,680,Normal
681,681,Normal
682,682,Normal
683,683,Normal
684,684,Normal
685,685,Normal
686,686,Normal
687,687,Normal
688,688,Normal
689,689,Normal
690,690,Normal
691,691,Normal
692,692,Normal
693,693,Normal
694,694,Normal
695,695,Normal
696,696,Normal
697,697,Normal
698,698,Normal
699,699,Normal
700,700,Normal
701,701,Normal
702,702,Normal
703,703,Normal
704,704,Normal
705,705,Normal
706,706,Normal
707,707,Normal
708,708,Normal
709,709,Normal
710,710,Normal
711,711,Normal
712,712,Normal
713,713,Normal
714,714,Normal
715,715,Normal
716,716,Normal
717,717,Normal
718,718,Normal
719,719,Normal
720,720,Normal
721,721,Normal
722,722,Normal
723,723,Normal
724,724,Normal
725,725,Normal
726,726,Normal
727,727,Normal
728,728,Normal
729,729,Normal
730,730,Normal
731,731,Normal
732,732,Normal
733,733,Normal
734,734,Normal
735,735,Normal
736,736,Normal
737,737,Normal
738,738,Normal
739,739,Normal
740,740,Normal
741,741,Normal
742,742,Normal
743,743,Normal
744,744,Normal
745,745,Normal
746,746,Normal
747,747,Normal
748,748,Normal
749,749,Normal
750,750,Normal
751,751,Normal
752,752,Normal
753,753,Normal
754,754,Normal
755,755,Normal
756,756,Normal
757,757,Normal
758,758,Normal
759,759,Normal
760,760,Normal
761,761,Normal
762,762,Normal
763,763,Normal
764,764,Normal
765,765,Normal
766,766,Normal
767,767,Normal
768,768,Normal
769,769,Normal
770,770,Normal
771,771,Normal
772,772,Normal
773,773,Normal
774,774,Normal
775,775,Normal
776,776,Normal
777,777,Normal
778,778,Normal
779,779,Normal
780,780,Normal
781,781,Normal
782,782,Normal
783,783,Normal
784,784,Normal
785,785,Normal
786,786,Normal
787,787,Normal
788,788,Normal
789,789,Normal
790,790,Normal
791,791,Normal
792,792,Normal
793,793,Normal
794,794,Normal
795,795,Normal
796,796,Normal
797,797,Normal
798,798,Normal
799,799,Normal
800,800,Normal
801,801,Normal
802,802,Normal
803,803,Normal
804,804,Normal
805,805,Normal
806,806,Normal
807,807,Normal
808,808,Normal
809,809,Normal
810,810,Normal
811,811,Normal
812,812,Normal
813,813,Normal
814,814,Normal
815,815,Normal
816,816,Normal
817,817,Normal
818,818,Normal
819,819,Normal
820,820,Normal
821,821,Normal
822,822,Normal
823,823,Normal
824,824,Normal
825,825,Normal
826,826,Normal
827,827,Normal
828,828,Normal
829,829,Normal
830,830,Normal
831,831,Normal
832,832,Normal
833,833,Normal
834,834,Normal
835,835,Normal
836,836,Normal
837,837,Normal
838,838,Normal
839,839,Normal
840,840,Normal
841,841,Normal
842,842,Normal
843,843,Normal
844,844,Normal
845,845,Normal
846,846,Normal
847,847,Normal
848,848,Normal
849,849,Normal
850,850,Normal
851,851,Normal
852,852,Normal
853,853,Normal
854,854,Normal
855,855,Normal
856,856,Normal
857,857,Normal
858,858,Normal
859,859,Normal
860,860,Normal
861,861,Normal
862,862,Normal
863,863,Normal
864,864,Normal
865,865,Normal
866,866,Normal
867,867,Normal
868,868,Normal
869,869,Normal
870,870,Normal
871,871,Normal
872,872,Normal
873,873,Normal
874,874,Normal
875,875,Normal
876,876,Normal
877,877,Normal
878,878,Normal
879,879,Normal
880,880,Normal
881,881,Normal
882,882,Normal
883,883,Normal
884,884,Normal
885,885,Normal
886,886,Normal
887,887,Normal
888,888,Normal
889,889,Normal
890,890,Normal
891,891,Normal
892,892,Normal
893,893,Normal
894,894,Normal
895,895,Normal
896,896,Normal
897,897,Abnormal
898,898,Abnormal
899,899,Abnormal
900,900,Abnormal
901,901,Abnormal
902,902,Abnormal
903,903,Abnormal
904,904,Abnormal
905,905,Abnormal
906,906,Abnormal
907,907,Abnormal
908,908,Abnormal
909,909,Abnormal
910,910,Abnormal
911,911,Abnormal
912,912,Abnormal
913,913,Abnormal
914,914,Abnormal
915,915,Abnormal
916,916,Abnormal
917,917,Abnormal
918,918,Abnormal
919,919,Abnormal
920,920,Abnormal
921,921,Abnormal
922,922,Abnormal
923,923,Abnormal
924,924,Abnormal
925,925,Abnormal
926,926,Abnormal
927,927,Abnormal
928,928,Abnormal
929,929,Abnormal
930,930,Abnormal
931,931,Abnormal
932,932,Abnormal
933,933,Abnormal
934,934,Abnormal
935,935,Abnormal
936,936,Abnormal
937,937,Abnormal
938,938,Abnormal
939,939,Abnormal
940,940,Abnormal
941,941,Abnormal
942,942,Abnormal
943,943,Abnormal
944,944,Abnormal
945,945,Abnormal
946,946,Abnormal
947,947,Abnormal
948,948,Abnormal
949,949,Abnormal
950,950,Abnormal
951,951,Abnormal
952,952,Abnormal
953,953,Abnormal
954,954,Abnormal
955,955,Abnormal
956,956,Abnormal
957,957,Abnormal
958,958,Abnormal
959,959,Abnormal
960,960,Abnormal
961,961,Abnormal
962,962,Abnormal
963,963,Abnormal
964,964,Abnormal
965,965,Normal
966,966,Normal
967,967,Normal
968,968,Normal
969,969,Normal
970,970,Normal
971,971,Normal
972,972,Normal
973,973,Normal
974,974,Normal
975,975,Normal
976,976,Normal
